Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=c0ed7df2bb82f9c6f8fa4ee1c1f14d13&SERIES_KEY=42.FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST
,"Euro area (changing composition) - Overnight interest rate swaps - EUR Overnight Index Swap (ESTR) 2Y - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. confidentiality,obs. comment
2025-03-11,2.1120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-10,2.0950000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-07,2.1320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-06,2.1203000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-05,2.1378000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-04,1.9878000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-03,1.9768000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-28,1.9381000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-27,1.9518000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-26,1.9668000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-25,1.9880000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-24,2.0141000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-21,2.0208000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-20,2.0626000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-19,2.0880000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-18,2.0460000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-17,2.0518000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-14,2.0451000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-13,2.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-12,2.0458000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-11,2.0018000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-10,1.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-07,1.9643000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-06,1.9835000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-05,1.9790000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-04,1.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-02-03,1.9548000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-31,2.0320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-30,2.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-29,2.1882000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-28,2.1800000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-27,2.1638000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-24,2.1940000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-23,2.1453000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-22,2.1369000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-21,2.1153000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-20,2.1263000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-17,2.1120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-16,2.1273000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-15,2.1497000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-14,2.2278000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-13,2.1960000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-10,2.1820000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-09,2.1337000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-08,2.1145000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-07,2.0950000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-06,2.1047000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-03,2.0635000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-01-02,2.0083000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-31,1.9843000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-30,1.9847000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-27,2.0086000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-24,1.9833000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-23,1.9800000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-20,1.9660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-19,1.9860000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-18,1.9572000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-17,1.9762000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-16,1.9730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-13,1.9990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-12,1.9430000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-11,1.8785000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-10,1.8884000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-09,1.9100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-06,1.9199000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-05,1.9278000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-04,1.8730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-03,1.8450000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-12-02,1.8205000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-29,1.8750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-28,1.9330000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-27,1.9757000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-26,1.9540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-25,1.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-22,1.9232000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-21,2.0380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-20,2.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-19,2.0555000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-18,2.0530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-15,1.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-14,1.9843000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-13,2.0658000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-12,2.0568000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-11,2.0400000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-08,2.0617000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-07,2.1180000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-06,2.1003000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-05,2.2466000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-04,2.2080000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-11-01,2.1878000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-31,2.1899000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-30,2.1960000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-29,2.0791000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-28,2.0517000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-25,2.0846000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-24,2.0677000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-23,2.0982000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-22,2.1625000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-21,2.1372000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-18,2.0663000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-17,2.1102000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-16,2.1573000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-15,2.2030000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-14,2.2540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-11,2.2400000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-10,2.2627000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-09,2.2990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-08,2.2640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-07,2.2878000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-04,2.2440000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-03,2.1188000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-02,2.0820000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-10-01,2.0490000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-30,2.0930000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-27,2.1052000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-26,2.1640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-25,2.1750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-24,2.1437000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-23,2.2002000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-20,2.2727000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-19,2.2920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-18,2.3200000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-17,2.2833000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-16,2.2409000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-13,2.2750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-12,2.3210000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-11,2.2457000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-10,2.2740000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-09,2.3050000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-06,2.3523000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-05,2.3880000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-04,2.4167000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-03,2.4680000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-09-02,2.4980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-30,2.4904000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-29,2.4513000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-28,2.4778000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-27,2.4900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-26,2.4920000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-23,2.4625000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-22,2.5078000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-21,2.4630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-20,2.4983000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-19,2.5380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-16,2.5468000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-15,2.5714000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-14,2.4748000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-13,2.4622000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-12,2.5070000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-09,2.5175000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-08,2.5330000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-07,2.5260000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-06,2.5290000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-05,2.5110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-02,2.5020000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-08-01,2.5895000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-31,2.6320000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-30,2.6660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-29,2.7230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-26,2.7480000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-25,2.7700000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-24,2.7925000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-23,2.8390000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-22,2.8790000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-19,2.8570000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-18,2.8300000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-17,2.8503000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-16,2.8413000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-15,2.8834000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-12,2.9080000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-11,2.8911000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-10,2.9820000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-09,3.0030000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-08,2.9945000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-05,2.9970000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-04,3.0430000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-03,3.0187000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-02,3.0270000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-07-01,3.0540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-28,3.0090000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-27,2.9930000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-26,2.9936000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-25,2.9732000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-24,2.9741000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-21,2.9646000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-20,3.0000000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-19,2.9980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-18,2.9770000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-17,2.9870000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-14,2.9810000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-13,3.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-12,3.0690000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-11,3.1540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-10,3.1957000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-07,3.1680000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-06,3.1130000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-05,3.0798000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-04,3.0888000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-06-03,3.1340000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-31,3.2148000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-30,3.1730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-29,3.2110000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-28,3.1810000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-27,3.1536000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-24,3.1990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-23,3.1780000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-22,3.1207000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-21,3.0750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-20,3.1012000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-17,3.0970000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-16,3.0410000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-15,3.0048000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-14,3.0960000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-13,3.0742000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-10,3.0994000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-09,3.0651000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-08,3.0650000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-07,3.0400000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-06,3.0510000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-03,3.0680000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-05-02,3.1263000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-30,3.1805000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-29,3.0990000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-26,3.1312000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-25,3.1530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-24,3.1160000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-23,3.0640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-22,3.0582000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-19,3.0940000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-18,3.0900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-17,3.0462000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-16,3.0660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-15,3.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-12,2.9610000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-11,3.0580000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-10,3.0670000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-09,2.9730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-08,3.0092000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-05,2.9640000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-04,2.9440000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-03,2.9380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-04-02,2.9247000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-28,2.9330000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-27,2.9171000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-26,2.9530000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-25,2.9660000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-22,2.9275000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-21,2.9727000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-20,3.0230000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-19,3.0132000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-18,3.0398000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-15,3.0278000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-14,3.0120000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-13,2.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-12,2.9380000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-11,2.9028000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-08,2.8738000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-07,2.9330000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-06,2.9757000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-05,2.9668000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-04,3.0187000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-03-01,2.9992000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-29,3.0160000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-28,3.0138000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-27,3.0273000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-26,3.0330000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-23,2.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-22,3.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-21,2.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-20,2.9042000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-19,2.9420000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-16,2.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-15,2.8733000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-14,2.8637000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-13,2.9235000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-12,2.8370000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-09,2.8820000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-08,2.8500000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-07,2.8137000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-06,2.7540000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-05,2.7910000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-02,2.7523000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-02-01,2.6470000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-31,2.6118000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-30,2.6980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-29,2.6567000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-26,2.7106000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-25,2.7023000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-24,2.8060000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-23,2.8080000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-22,2.7910000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-19,2.8292000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-18,2.7750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-17,2.7900000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-16,2.6980000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-15,2.6820000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-12,2.6360000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-11,2.7430000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-10,2.7760000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-09,2.7460000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-08,2.6750000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-05,2.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-04,2.6730000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-03,2.5470000,Normal value (A),Not for publication, restricted for internal use only (N),
2024-01-02,2.5920000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-29,2.5530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-28,2.5300000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-27,2.5385000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-22,2.5830000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-21,2.6165000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-20,2.6375000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-19,2.6890000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-18,2.7130000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-15,2.7048000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-14,2.7708000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-13,2.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-12,2.8740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-11,2.8767000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-08,2.8647000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-07,2.7982000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-06,2.8108000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-05,2.8090000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-04,2.8918000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-12-01,2.8940000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-30,3.0493000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-29,3.0740000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-28,3.1502000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-27,3.2160000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-24,3.2940000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-23,3.2770000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-22,3.2548000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-21,3.2088000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-20,3.2320000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-17,3.2092000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-16,3.1860000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-15,3.2510000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-14,3.2290000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-13,3.3110000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-10,3.3060000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-09,3.2610000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-08,3.2635000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-07,3.2470000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-06,3.2660000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-03,3.2330000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-02,3.2600000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-11-01,3.2530000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-31,3.3220000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-30,3.3292000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-27,3.3575000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-26,3.3875000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-25,3.4760000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-24,3.4440000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-23,3.4910000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-20,3.4990000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-19,3.5600000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-18,3.5490000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-17,3.5480000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-16,3.4810000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-13,3.4820000,Normal value (A),Not for publication, restricted for internal use only (N),
2023-10-12,3.5040000,Normal value (A),Not for publication, restricted for internal use only (N),
